,,,"American Association of Individual Investors 625 N. Michigan Ave., Chicago, IL. 60611; (312) 280-0170; www.aaii.com",,,,,,,,,
,,,,,Bullish,,,Bullish,Bullish,S&P 500,S&P 500,S&P 500
Reported,,,,,8-week,Bull-Bear,Bullish,Average,Average,Weekly,Weekly,Weekly
Date,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,+St. Dev.,- St. Dev.,High,Low,Close
,,,,,,,,,,,,
6-26-87,,,,,,,37.9%,48.0%,27.9%,,,
7-17-87,,,,,,,37.9%,48.0%,27.9%,314.59,307.63,314.59
7-24-87,36.0%,50.0%,14.0%,100%,,22.0%,37.9%,48.0%,27.9%,311.39,307.81,309.27
7-31-87,26.0%,48.0%,26.0%,100%,,0.0%,37.9%,48.0%,27.9%,318.66,310.65,318.66
8-7-87,56.0%,15.0%,29.0%,100%,,27.0%,37.9%,48.0%,27.9%,323.00,316.23,323.00
8-14-87,45.0%,35.0%,20.0%,100%,,25.0%,37.9%,48.0%,27.9%,334.65,323.00,333.99
8-21-87,66.0%,28.0%,6.0%,100%,,60.0%,37.9%,48.0%,27.9%,335.90,329.25,335.90
8-28-87,52.0%,18.0%,30.0%,100%,,22.0%,37.9%,48.0%,27.9%,331.38,323.04,323.04
9-4-87,42.0%,17.0%,41.0%,100%,,1.0%,37.9%,48.0%,27.9%,329.79,316.70,316.70
9-11-87,50.0%,23.0%,27.0%,100%,46.63%,23.0%,37.9%,48.0%,27.9%,321.98,313.56,321.98
9-18-87,60.0%,29.0%,11.0%,100%,49.63%,49.0%,37.9%,48.0%,27.9%,323.08,314.86,314.86
9-25-87,53.0%,17.0%,30.0%,100%,53.00%,23.0%,37.9%,48.0%,27.9%,321.19,310.54,320.16
10-2-87,44.0%,26.0%,30.0%,100%,51.50%,14.0%,37.9%,48.0%,27.9%,328.07,321.69,328.07
10-9-87,46.0%,39.0%,15.0%,100%,51.63%,31.0%,37.9%,48.0%,27.9%,328.08,311.07,311.07
10-16-87,37.0%,30.0%,33.0%,100%,48.00%,4.0%,37.9%,48.0%,27.9%,314.52,282.70,282.70
10-23-87,39.0%,30.0%,31.0%,100%,46.38%,8.0%,37.9%,48.0%,27.9%,258.39,224.84,248.22
10-30-87,44.0%,23.0%,33.0%,100%,46.63%,11.0%,37.9%,48.0%,27.9%,251.79,227.67,251.79
11-6-87,47.0%,31.0%,22.0%,100%,46.25%,25.0%,37.9%,48.0%,27.9%,255.75,248.31,250.41
11-13-87,31.0%,41.0%,28.0%,100%,42.63%,3.0%,37.9%,48.0%,27.9%,248.52,239.00,245.64
11-20-87,39.0%,42.0%,19.0%,100%,40.88%,20.0%,37.9%,48.0%,27.9%,246.76,240.05,242.00
11-27-87,27.0%,46.0%,27.0%,100%,38.75%,0.0%,37.9%,48.0%,27.9%,246.39,240.34,240.34
12-4-87,25.0%,33.0%,42.0%,100%,36.13%,-17.0%,37.9%,48.0%,27.9%,233.45,223.92,223.92
12-11-87,23.0%,45.0%,32.0%,100%,34.38%,-9.0%,37.9%,48.0%,27.9%,238.89,228.76,235.32
12-18-87,33.0%,40.0%,27.0%,100%,33.63%,6.0%,37.9%,48.0%,27.9%,249.16,242.19,249.16
12-24-87,28.0%,52.0%,20.0%,100%,31.63%,8.0%,37.9%,48.0%,27.9%,253.16,249.54,252.02
12-31-87,25.0%,49.0%,26.0%,100%,28.88%,-1.0%,37.9%,48.0%,27.9%,247.86,244.59,247.08
1-8-88,34.0%,46.0%,20.0%,100%,29.25%,14.0%,37.9%,48.0%,27.9%,261.07,243.40,243.40
1-15-88,34.0%,40.0%,26.0%,100%,28.63%,8.0%,37.9%,48.0%,27.9%,252.05,245.42,252.05
1-22-88,21.0%,48.0%,31.0%,100%,27.88%,-10.0%,37.9%,48.0%,27.9%,251.88,242.63,246.50
