Symbol,Name,"10Y %Chg",Last,Change,%Chg,"10Y Chg","10Y High","10Y Low","Avg Vol",Time
GTT,"Global Telcom & Technology Inc",+528.89%,6.38,0.72,+12.72%,4.76,62.32,0.95,628565,09/16/20
NHTC,"Natural Hlth Trd","+3,429.41%",6,0,0.00%,5.83,55.45,0.05,29850,09/16/20
LGND,"Ligand Pharm",+912.55%,95.19,-0.8,-0.83%,86.51,278.62,8.14,227780,09/16/20
BBX,"Bbx Capital Corp",+831.88%,15.01,0.1,+0.67%,13.31,50.85,0.98,42125,09/16/20
CMD,"Cantel Medical",+598.06%,49.1,-1.16,-2.31%,43.06,130.92,7.03,291525,09/16/20
AXDX,"Accelerate Diagnosti",+977.00%,11.1,0.33,+3.06%,9.77,31.86,0.76,354080,09/16/20
OSBC,"Old Second Bancorp",+494.24%,8.33,0.07,+0.85%,6.87,16.3,0.83,66235,09/16/20
EVI,"Evi Industries Inc.","+2,272.22%",24.56,-1.06,-4.14%,24.54,48.45,1.02,14660,09/16/20
TPL,"Texas Pacific Land Trust","+1,058.13%",458.56,-5.04,-1.09%,423.57,915.66,33.62,21455,09/16/20
IBCP,"Independent Bk Cp",+905.04%,14.19,0.22,+1.57%,12.58,27.1,1,82330,09/16/20
SSNT,"Silversun Technologies Inc Cl A","+1,566.67%",2.55,0.05,+2.00%,2.35,15.3,0.15,199445,09/16/20
AX,"Axos Financial Inc",+686.86%,23.93,0.58,+2.48%,20.38,45.18,2.87,278985,09/16/20
BEAT,"Biotelemetry Inc",+802.66%,40.71,0,0.00%,36.2,80.92,1.84,330850,09/16/20
EGHT,"8X8 Inc",+619.53%,15.67,0.2,+1.29%,13.32,26.67,2.06,1066985,09/16/20
ABMD,"Abiomed Inc","+2,531.10%",274.41,-4.75,-1.70%,268.55,459.75,8.97,305785,09/16/20
SIMO,"Silicon Motion Techn",+571.74%,37.43,0.82,+2.24%,31.16,61.85,3.83,208880,09/16/20
MED,"Medifast Inc",+549.72%,176.36,0.090000000000003,+0.05%,149.14,260.98,12.97,219850,09/16/20
PLUS,"Eplus Inc",+578.97%,73.53,0.71,+0.98%,62.1,107.25,10.02,53230,09/16/20
LNG,"Cheniere Energy","+1,815.48%",50.5,2.23,+4.62%,45.75,85,2.5,1449550,09/16/20
SIVB,"Svb Financial Group",+486.55%,249.67,1.44,+0.58%,205.91,333.74,33.15,316290,09/16/20
CCF,"Chase Corp",+583.29%,98.36,-1.4,-1.40%,85.16,131.7,9.83,14710,09/16/20
PATK,"Patrick Inds Inc","+5,474.30%",52.72,-0.05,-0.09%,51.82,72.35,0.68,157720,09/16/20
XPO,"Xpo Logistics Inc","+1,089.76%",92.58,3.11,+3.48%,81.95,116.27,6.61,1024425,09/16/20
CNC,"Centene Corp",+886.52%,59.9,1.72,+2.96%,52.28,74.7,5.3,3050270,09/16/20
AMOT,"Allied Motion Tech",+859.00%,40.8,0.33,+0.82%,36.25,55.47,4.08,21840,09/16/20
JOUT,"Johnson Outdoors",+557.33%,83.91,-0.36,-0.43%,71.45,107.36,11.16,34675,09/16/20
ASGN,"On Assignment","+1,225.71%",69.36,-0.23999999999999,-0.34%,64.35,94.25,5.06,203205,09/16/20
