Symbol,Name,"5Y %Chg",Last,Change,%Chg,"5Y Chg","5Y High","5Y Low","Avg Vol",Time
APHA,"Aphria Inc",+592.54%,4.63,-0.01,-0.22%,3.79,19.87,0.71,3082890,09/16/20
CGC,"Canopy Growth Corp","+1,142.53%",16.48,0.059999999999999,+0.37%,15.1,59.25,1.14,3127965,09/16/20
EVI,"Evi Industries Inc.",+558.61%,24.56,-1.06,-4.14%,21.73,48.45,3,14660,09/16/20
MED,"Medifast Inc",+539.35%,176.36,0.090000000000003,+0.05%,148.7,260.98,26.14,219850,09/16/20
BZUN,"Baozun Inc Ads",+636.18%,36.48,-0.55,-1.49%,32,67.41,4.5,1018870,09/16/20
XPO,"Xpo Logistics Inc",+279.59%,92.58,3.11,+3.48%,65.9,116.27,18.04,1024425,09/16/20
JOUT,"Johnson Outdoors",+304.17%,83.91,-0.36,-0.43%,63.42,107.36,18.33,34675,09/16/20
ALGN,"Align Technology",+491.77%,329.86,-5.38,-1.60%,278.59,398.88,54.64,685905,09/16/20
SKY,"Skyline Corp",+765.52%,25.76,0.66,+2.63%,22.2,37.03,2.17,356735,09/16/20
BOOM,"Dynamic Materials",+272.66%,33.81,1.5,+4.64%,23.64,76.68,4.84,117665,09/16/20
OLLI,"Ollies Bargain CS",+437.74%,84.62,-3.3,-3.75%,71.57,112.58,14.88,1232500,09/16/20
SRPT,"Sarepta Therapeutics",+293.71%,143.95,1.15,+0.81%,106.53,176.5,8,854465,09/16/20
SMTC,"Semtech Corp",+278.17%,56.88,-0.11,-0.19%,41.92,64.1,14.04,574835,09/16/20
ERII,"Energy Recovery Inc",+287.89%,8.79,0.14,+1.62%,6.42,16.67,2.07,208975,09/16/20
EXAS,"Exact Sciences Cor",+304.71%,76.01,-0.48,-0.63%,57.59,123.99,4.67,1736585,09/16/20
ALRM,Alarm.com,+360.42%,56.54,-0.92,-1.60%,44.98,74.66,11.15,413140,09/16/20
SIGA,"Siga Technologies Inc",+487.60%,7.01,-0.1,-1.41%,5.9,8.47,0.2,261395,09/16/20
FIVE,"Five Below Inc",+286.71%,134.07,1.39,+1.05%,98.37,148.21,26.95,1134545,09/16/20
FOXF,"Fox Factory Cp",+393.17%,73.21,-1.11,-1.49%,59.25,113.41,13.85,405365,09/16/20
UPLD,"Upland Software Inc",+358.73%,36.72,0.71,+1.97%,28.16,54.87,5.95,362315,09/16/20
VFF,"Village Farms Intl",+809.67%,5.74,0,0.00%,5.04,18.1,0.55,1406815,09/16/20
